full_path,file_name,make,model,index,scaleFactor,numSamples,Fs,duration,rawData,croppedData,transient_start,Mean,StandardDeviation,Skewness,Entropy,RootMeanSquare,Root,Kurtosis,Variance,Peak,Peak2Peak,ShapeFactor,CrestFactor,ImpulseFactor,ClearanceFactor
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0151.mat,DJI_Inspire1Pro_0151.mat,DJI,Inspire1Pro,0151,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 112.104668  184.104668  -43.895332 ... 3260.104668 2768.104668
  672.104668]",407600,-2.4736574557731794,5752.38015795287,0.006645257366277995,-inf,5752.380689818008,3699.200476402283,-0.062375096956143405,33089877.48160989,18476.104668,37140.0,1.2797391282901043,3.211905759419504,4.110401476709481,4.994621077138602
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0152.mat,DJI_Inspire1Pro_0152.mat,DJI,Inspire1Pro,0152,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 135.0974336   31.0974336 -208.9025664 ... 2487.0974336 3659.0974336
 2883.0974336]",420300,0.22125626689660186,6142.524564831079,0.0031945041008261824,-inf,6142.52456881595,4041.4146709007546,-0.1364043406385722,37730608.029553235,19467.0974336,39272.0,1.2666454551470228,3.1692339551118036,4.014295785539989,4.81690175813143
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0153.mat,DJI_Inspire1Pro_0153.mat,DJI,Inspire1Pro,0153,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],[  29.98036  141.98036 -170.01964 ... -570.01964 3181.98036 5105.98036],409700,0.9932686904963183,6644.011549097896,0.0016741569266281175,-inf,6644.011623343905,4284.153561180609,-0.10379058874672786,44142889.46454622,21441.98036,42684.0,1.2769604216023058,3.2272641252858523,4.121088558047019,5.0049513991023025
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0154.mat,DJI_Inspire1Pro_0154.mat,DJI,Inspire1Pro,0154,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 317.5195936  185.5195936   17.5195936 ... 1437.5195936 3509.5195936
 3585.5195936]",421200,13.017243910988272,6128.051336892463,0.004115674836907558,-inf,6128.065162531199,4033.972587379482,-0.14056982601309853,37553013.187589504,19553.519593600002,39192.0,1.2663049523994954,3.1908145678926516,4.040544289510921,4.847211816652975
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0155.mat,DJI_Inspire1Pro_0155.mat,DJI,Inspire1Pro,0155,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-145.6439064   78.3560936  226.3560936 ... 2350.3560936 4718.3560936
 4334.3560936]",422000,1.5756783750860526,6613.953079560947,0.0014626913435881672,-inf,6613.953267252202,4358.012314167854,-0.1607855476602107,43744375.33863373,20946.3560936,41844.0,1.2651362315850314,3.1669948738997156,4.006679960214598,4.806401309492313
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0156.mat,DJI_Inspire1Pro_0156.mat,DJI,Inspire1Pro,0156,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[  56.080244   76.080244 -131.919756 ...  736.080244 3304.080244
 3764.080244]",419300,-2.7811302035474093,6071.191688993683,0.005906481781250619,-inf,6071.19232599258,3987.0136511181427,-0.1273169322370249,36859368.52450597,19492.080244,38760.0,1.2678683889711018,3.210585202604867,4.070599488481091,4.888892276186093
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0157.mat,DJI_Inspire1Pro_0157.mat,DJI,Inspire1Pro,0157,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-221.6239168  -17.6239168 -193.6239168 ... 2618.3760832 4618.3760832
 3782.3760832]",419900,2.530884096397338,6471.745446539453,0.002676838832283135,-inf,6471.745941411671,4254.611198126242,-0.14837486210130368,41883489.12480414,20574.3760832,41228.0,1.2666370303829302,3.1791075035173813,4.026775287523346,4.835782901211064
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0158.mat,DJI_Inspire1Pro_0158.mat,DJI,Inspire1Pro,0158,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-165.2564352 -305.2564352 -165.2564352 ... 1646.7435648 3086.7435648
 2906.7435648]",407600,7.911424354355047,5883.736985593841,0.00463876845979461,-inf,5883.742304543956,3782.874715764913,-0.06316756795394651,34618360.91564491,19166.7435648,38404.0,1.2796456705225334,3.257576993132026,4.1685442956552095,5.066713810246926
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0159.mat,DJI_Inspire1Pro_0159.mat,DJI,Inspire1Pro,0159,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ -51.1365256 -183.1365256  -67.1365256 ... 1484.8634744 3940.8634744
 4212.8634744]",419400,0.31858979786458486,6158.580471018981,0.0030658741620305466,-inf,6158.580479259473,4039.9162890028574,-0.12973465847301258,37928113.418016374,19844.8634744,39640.0,1.2682819705161907,3.2223113006694377,4.086799326029624,4.912196702793107
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0160.mat,DJI_Inspire1Pro_0160.mat,DJI,Inspire1Pro,0160,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 424.3883168  356.3883168  364.3883168 ... 2664.3883168 4408.3883168
 3488.3883168]",406600,9.32441386774506,6295.643811074164,0.005019094685698956,-inf,6295.650716217538,4042.4618678147544,-0.07930743732772028,39635130.99591642,20304.3883168,40516.0,1.2796536247113055,3.2251452998331187,4.127068873152081,5.022777945899587
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0161.mat,DJI_Inspire1Pro_0161.mat,DJI,Inspire1Pro,0161,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-204.2465432 -296.2465432 -288.2465432 ...  -40.2465432 2659.7534568
 3955.7534568]",407000,-1.7104892370991736,6065.069179860277,0.005473788478188489,-inf,6065.069421058957,3895.4390692719326,-0.06182830100631698,36785064.156491004,19571.7534568,39076.0,1.2803252893863535,3.2269628091714053,4.13156209249138,5.024274057111105
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0162.mat,DJI_Inspire1Pro_0162.mat,DJI,Inspire1Pro,0162,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[  12.4439216 -111.5560784  -59.5560784 ...  544.4439216 3492.4439216
 4168.4439216]",406200,-6.320915045335338,6243.3832527476725,0.005645975056934797,-inf,6243.386452451677,4008.107180119626,-0.07515931481058846,38979834.44069011,20000.4439216,40128.0,1.2801041855522208,3.2034608259346413,4.100763611531509,4.989997278716251
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0163.mat,DJI_Inspire1Pro_0163.mat,DJI,Inspire1Pro,0163,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 727.2316952  651.2316952  151.2316952 ...  463.2316952 2463.2316952
 3171.2316952]",418800,15.10003656269797,5953.876185704258,0.006891286674838136,-inf,5953.895333796227,3905.2659211005275,-0.11882869952964636,35448641.63469629,19111.2316952,38244.0,1.2687365501125534,3.209870282186268,4.0724797481298145,4.893708157475315
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0164.mat,DJI_Inspire1Pro_0164.mat,DJI,Inspire1Pro,0164,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 213.1545072   45.1545072  -30.8454928 ...  825.1545072 4025.1545072
 4857.1545072]",407800,2.84913739250271,6170.681522958331,0.006455109582596681,-inf,6170.682180712537,3970.390737308729,-0.07510689237961188,38077310.45777935,19785.1545072,39564.0,1.2789628541644695,3.206315594901597,4.1007585446073955,4.9831756661338265
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0165.mat,DJI_Inspire1Pro_0165.mat,DJI,Inspire1Pro,0165,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ -96.838076  -96.838076   -8.838076 ... 2307.161924 3419.161924
 2383.161924]",419100,3.626031419521431,5813.122216663298,0.006552029727757568,-inf,5813.123347561815,3814.553757778744,-0.11957584983399716,33792389.90586442,18615.161924,37460.0,1.2683492834312386,3.2022650838482063,4.061590624455747,4.880036593019418
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0166.mat,DJI_Inspire1Pro_0166.mat,DJI,Inspire1Pro,0166,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-162.3572176  -50.3572176  -90.3572176 ...  897.6427824 3465.6427824
 3629.6427824]",409100,11.34560859732628,6086.224672945088,0.0043843316442770145,-inf,6086.235247868751,3925.992643463382,-0.08143911573053675,37042130.769565545,19837.6427824,39752.0,1.2775138512056128,3.259427540094946,4.163963829472332,5.052898612897012
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0167.mat,DJI_Inspire1Pro_0167.mat,DJI,Inspire1Pro,0167,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-261.2576904 -385.2576904 -229.2576904 ... 1954.7423096 3798.7423096
 3198.7423096]",420000,-1.537552468965335,6139.059827650349,0.005665974241074921,-inf,6139.060020193476,4032.1049167389415,-0.1265370359487039,37688055.56747033,19650.7423096,39500.0,1.2677964657601335,3.200936665379058,4.058136191489597,4.873569194100483
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0168.mat,DJI_Inspire1Pro_0168.mat,DJI,Inspire1Pro,0168,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 265.5539712  365.5539712  293.5539712 ... 1653.5539712 4241.5539712
 4381.5539712]",419500,-1.3598617026704143,6308.509986374157,0.004276248077479879,-inf,6308.510132939973,4141.379256486284,-0.1398694469887798,39797298.24818247,19953.5539712,40064.0,1.2675634157711424,3.1629582184567226,4.00925012332841,4.818093860867361
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0169.mat,DJI_Inspire1Pro_0169.mat,DJI,Inspire1Pro,0169,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 384.4656744  140.4656744 -143.5343256 ... 1172.4656744 3712.4656744
 4156.4656744]",420800,10.164224123757082,6237.51249423659,0.0033398527659604395,-inf,6237.520775693625,4104.38583042709,-0.1403006794778423,38906562.11575757,20036.4656744,39880.0,1.2665255133639408,3.2122483266874413,4.068394461010271,4.881720798727898
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0170.mat,DJI_Inspire1Pro_0170.mat,DJI,Inspire1Pro,0170,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-6.14654424e+01  2.53455760e+00  1.66534558e+02 ...  2.46253456e+03
  3.55453456e+03  2.84253456e+03]",409200,-2.305659055382561,5912.095438619834,0.0034534008789714583,-inf,5912.095888211991,3813.9361418694352,-0.073218234631093,34952872.47534945,19074.5345576,38304.0,1.2779141614261562,3.226357440452265,4.123007862976596,5.001272661122859
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0171.mat,DJI_Inspire1Pro_0171.mat,DJI,Inspire1Pro,0171,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ -43.856724  100.143276   44.143276 ... 2300.143276 4324.143276
 3720.143276]",419200,-5.0264209696969555,6229.394335413273,0.0029604581423371737,-inf,6229.396363291289,4090.113604274943,-0.13349456540951588,38805353.786078975,20136.143276,40076.0,1.267709030235377,3.2324389237227966,4.097792013287712,4.923125669407793
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0172.mat,DJI_Inspire1Pro_0172.mat,DJI,Inspire1Pro,0172,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-102.6557544  225.3442456  285.3442456 ...  333.3442456 2465.3442456
 3457.3442456]",420300,11.052784499430789,5824.845231435973,0.0053208118184583314,-inf,5824.8557178892925,3832.2176985682154,-0.1259626194837944,33928821.97018239,18581.3442456,37100.0,1.2670502394670258,3.1900093574048523,4.041902120201871,4.848718342003984
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0173.mat,DJI_Inspire1Pro_0173.mat,DJI,Inspire1Pro,0173,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 267.5437864 -292.4562136 -464.4562136 ... 2975.5437864 3719.5437864
 2267.5437864]",406000,6.488230844444213,6067.4600828835255,0.005076746801041868,-inf,6067.4635519733,3895.2600193939165,-0.06743320987976054,36814071.85738496,19603.5437864,39276.0,1.2802691436980016,3.230928973611124,4.136458670394177,5.032666288976061
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0174.mat,DJI_Inspire1Pro_0174.mat,DJI,Inspire1Pro,0174,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ -84.8984248   19.1015752   55.1015752 ... 2891.1015752 5019.1015752
 4327.1015752]",405200,5.876154890652647,6613.815379593366,0.00154249098255362,-inf,6613.817989976897,4235.2114170069535,-0.08218824351319043,43742553.87534574,21303.1015752,42580.0,1.2810175242329482,3.2209990670267015,4.126156250399181,5.0299972014750125
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0175.mat,DJI_Inspire1Pro_0175.mat,DJI,Inspire1Pro,0175,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-264.8904264 -268.8904264 -408.8904264 ... 1435.1095736 3599.1095736
 3739.1095736]",405900,9.597302938495156,6052.175868798769,0.00738690855263391,-inf,6052.183478307134,3884.5979784924953,-0.06715644902591977,36628832.74687014,19567.1095736,39212.0,1.2803191943361503,3.2330661559971654,4.139356656081765,5.037100282174746
