full_path,file_name,make,model,index,scaleFactor,numSamples,Fs,duration,rawData,croppedData,transient_start,Mean,StandardDeviation,Skewness,Entropy,RootMeanSquare,Root,Kurtosis,Variance,Peak,Peak2Peak,ShapeFactor,CrestFactor,ImpulseFactor,ClearanceFactor
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0001.mat,DJI_Inspire1Pro_0001.mat,DJI,Inspire1Pro,0001,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 205.9695176  -26.0304824 -186.0304824 ... 1461.9695176 3893.9695176
 3861.9695176]",407800,-0.713967709016957,6309.04234885637,0.002230712731309617,0.036177205468966134,6309.042389254726,4059.143700191017,-0.08357871326537536,39804015.3596631,20149.9695176,40472.0,1.2787437804538855,3.193823765064332,4.084082275441826,4.964093662575132
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0002.mat,DJI_Inspire1Pro_0002.mat,DJI,Inspire1Pro,0002,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ -70.0778592  -26.0778592  -26.0778592 ... 1457.9221408 4085.9221408
 4053.9221408]",419100,1.424086057359465,6562.962785971318,0.0021001964211590134,0.03509102411834945,6562.9629404763145,4309.63254378497,-0.14820701030172634,43072480.53004441,20933.9221408,41908.0,1.2672031284960772,3.189705980463863,4.042005397426455,4.857472633250215
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0003.mat,DJI_Inspire1Pro_0003.mat,DJI,Inspire1Pro,0003,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 374.498748   50.498748  -65.501252 ... 1650.498748 3674.498748
 3462.498748]",410100,6.90485072927611,6068.694313799424,0.003206397549621063,0.03716816059969848,6068.6982419053475,3921.0078989074213,-0.08650921975971526,36829050.67434146,19426.498747999998,39248.0,1.276688421922295,3.201098155425964,4.086804952469143,4.954465598861237
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0004.mat,DJI_Inspire1Pro_0004.mat,DJI,Inspire1Pro,0004,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 139.940036  271.940036  227.940036 ...  947.940036 3107.940036
 3699.940036]",406700,7.761172018877428,6138.0171539677,0.005862631082035985,0.03682382334468054,6138.022060745045,3939.300446636483,-0.06458710509692622,37675254.58240175,19951.940036,39652.0,1.2804862988647494,3.2505487661245382,4.162283158814188,5.064843442707115
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0005.mat,DJI_Inspire1Pro_0005.mat,DJI,Inspire1Pro,0005,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ 208.811932   56.811932 -147.188068 ...  696.811932 3900.811932
 4696.811932]",407200,6.606466412955856,6546.082534076322,0.003946967576985596,0.034982283767349694,6546.085867779123,4208.6062800133495,-0.0908269180365755,42851196.54293909,21008.811932,42004.0,1.278909886589888,3.2093700504921143,4.104495087299854,4.9918691686059455
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0006.mat,DJI_Inspire1Pro_0006.mat,DJI,Inspire1Pro,0006,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-277.2793752 -221.2793752 -289.2793752 ... 2398.7206248 3882.7206248
 3230.7206248]",419600,-1.704461347484302,6080.026666045597,0.005879391108195666,0.03749928197585711,6080.026904958072,3989.1011206554413,-0.1277699605736795,36966724.25982554,19498.7206248,38924.0,1.2682608132278868,3.207012227018174,4.067327935069844,4.887998582897844
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0007.mat,DJI_Inspire1Pro_0007.mat,DJI,Inspire1Pro,0007,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[ -49.6190392  182.3809608   34.3809608 ... 1978.3809608 4698.3809608
 4914.3809608]",409700,-2.3786529557174743,6420.2664908053575,0.003159247881382424,0.03566871631117544,6420.266931440469,4142.595500822163,-0.09484100557661002,41219821.812958136,20530.3809608,41124.0,1.276979654724419,3.197745698120646,4.083456197482598,4.955922188571254
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0008.mat,DJI_Inspire1Pro_0008.mat,DJI,Inspire1Pro,0008,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-415.6731784 -171.6731784   20.3268216 ... 2132.3268216 3592.3268216
 3036.3268216]",408300,0.9800580373835207,6089.998286719615,0.0034791943415152233,0.03727814903676629,6089.998365579551,3922.277550150484,-0.07582777794407836,37088079.13224785,19560.3268216,39144.0,1.2785045630950975,3.2118771873822256,4.106399640169222,4.986981816432022
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0009.mat,DJI_Inspire1Pro_0009.mat,DJI,Inspire1Pro,0009,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-100.6134864 -164.6134864  -84.6134864 ...  907.3865136 3747.3865136
 4135.3865136]",407900,-3.1044169860494613,6302.0393123311305,0.003014235342771018,0.036002047504485664,6302.040076956973,4055.581309584351,-0.0842053853341298,39715699.49416703,20311.3865136,40664.0,1.278656844646616,3.222985932423272,4.121093022692772,5.00825528157927
E:\DataBase\MPACT_DroneRC_RF_Dataset\DJI_Inspire1Pro\DJI_Inspire1Pro_0010.mat,DJI_Inspire1Pro_0010.mat,DJI,Inspire1Pro,0010,[[6.58614641e-06]],[[5000000]],20000000000,[[0.00025]],[],"[-248.1915656 -336.1915656 -272.1915656 ... 2207.8084344 4139.8084344
 3755.8084344]",420200,0.8586586152465439,6123.794947282274,0.006908808012599413,0.03705350603950341,6123.795007481433,4023.4464598199593,-0.12758143561412005,37500864.5563599,19643.8084344,39424.0,1.2675616228113578,3.2077834758350314,4.066063228256911,4.882333748086962
